wallet,first_tx,last_tx,wallet_age_days,tx_count,tx_frequency,avg_tx_value,active_days,tx_per_day_mean,tx_per_day_std,consistency_ratio,max_tx_per_hour,max_tx_per_minute,unique_to_addresses,unique_from_addresses,unique_counterparties,stablecoin_tx_count,stablecoin_tx_ratio
0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045,2015-09-28 08:24:43,2024-10-12 17:05:11,3302,10000,3.0284675953967293,9.856349919200582e+18,879,11.376564277588168,174.73878440655838,15.359539149336483,3707,837,239,6115,6334,40,0.004
0x742d35Cc6634C0532925a3b844Bc9e7595f0bEb7,2026-02-04 15:24:35,2026-02-04 15:24:35,1,1,1.0,1000000000.0,1,1.0,0.0,0.0,1,1,1,1,2,1,0.5
0x66f820a414680b5bcda5eeca5dea238543f42054,2019-01-09 00:04:46,2025-04-18 07:12:11,2291,213,0.09297250109122654,1.606199071567174e+22,103,2.0679611650485437,2.5753816999500962,1.2453723713373706,25,8,11,9,18,10,0.008503401360544218
0xfe9e8709d3215310075d67e3ed32a380ccf451c8,2017-12-03 01:48:47,2017-12-03 21:33:55,1,10000,10000.0,7.842126600471208e+18,1,10000.0,0.0,0.0,3568,153,1,9987,9988,0,0.0
0x28c6c06298d514db089934071355e5743bf21d60,2021-04-22 06:34:00,2021-05-12 10:34:29,20,10000,500.0,1.11e+16,13,769.2307692307693,869.293310094101,1.1300813031223311,266,35,64,3,66,0,0.0
0x564286362092d8e7936f0549571a803b203aaced,2018-01-07 11:21:14,2018-01-07 23:20:42,1,10000,10000.0,1.5104642389829e+19,1,10000.0,0.0,0.0,1142,93,9412,3,9413,0,0.0
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,2018-09-28 03:38:00,2026-02-05 13:45:35,2687,2465,0.9173799776702642,4.668992153003891e+21,701,3.5164051355206847,13.993522039089653,3.979496531197504,287,93,210,542,747,303,0.0303
0xf977814e90da44bfa03b6295a0616a897441acec,2019-07-09 14:49:20,2023-02-09 15:59:23,1311,10000,7.627765064836003,2.892415382428627e+21,1257,7.955449482895784,7.950859484197539,0.9994230371636307,67,11,416,23,433,447,0.0447
0x3f5ce5fbfe3e9af3971dD833D26BA9b5C936f0bE,2017-08-04 14:39:20,2017-08-16 10:18:32,11,10000,909.0909090909091,1.2806600314073856e+19,13,769.2307692307693,994.2005292232006,1.2924606879901608,603,130,2965,606,3568,0,0.0
0xdc76cd25977e0a5ae17155770273ad58648900d3,2017-05-26 05:56:04,2025-04-17 07:23:23,2883,794,0.2754075615678113,8.996886601462254e+21,108,7.351851851851852,9.169550193123005,1.2472436030948166,22,11,11,79,87,0,0.0
